id	cluster
ureC_179	urec
ureC_558	urec
ureC_552	urec
ureC_301	urec
ureC_76	urec
ureC_527	urec
ureC_10	urec
ureC_75	urec
ureC_460	urec
ureC_210	urec
ureC_294	urec
ureC_571	urec
ureC_312	urec
ureC_284	urec
ureC_315	urec
ureC_377	urec
ureC_659	urec
ureC_127	urec
ureC_355	urec
ureC_452	urec
ureC_133	urec
ko04_8	urec
ureC_31	urec
ureC_415	urec
ureC_613	urec
ureC_94	urec
ureC_484	urec
ureC_596	urec
ureC_748	urec
ureC_727	urec
ureC_742	urec
ureC_475	urec
ureC_274	urec
ureC_115	urec
ureC_506	urec
ureC_340	urec
ko04_10	urec
ko04_15	urec
ko04_0	urec
ureC_469	urec
ureC_337	urec
ureC_431	urec
ureC_764	urec
ureC_631	urec
ureC_195	urec
ureC_770	urec
ureC_531	urec
ureC_675	urec
ureC_228	urec
ureC_792	urec
ureC_159	urec
ureC_610	urec
ureC_6	urec
ureC_432	urec
ureC_422	urec
ureC_384	urec
ureC_744	urec
ureC_433	urec
ureC_253	urec
ureC_354	urec
ureC_255	urec
ureC_582	urec
ureC_642	urec
ureC_64	urec
ureC_444	urec
ureC_230	urec
ureC_772	urec
ureC_682	urec
ureC_508	urec
ureC_574	urec
ureC_132	urec
ureC_29	urec
ureC_663	urec
ureC_511	urec
ureC_226	urec
ureC_9	urec
ureC_42	urec
ureC_121	urec
ureC_611	urec
ureC_617	urec
ureC_494	urec
ureC_53	urec
ureC_164	urec
ureC_209	urec
ureC_309	urec
ureC_123	urec
ureC_376	urec
ureC_561	urec
ureC_190	urec
ureC_89	urec
ureC_139	urec
ureC_39	urec
ureC_198	urec
ureC_797	urec
ureC_445	urec
ureC_317	urec
ureC_489	urec
ureC_310	urec
ureC_124	urec
ureC_570	urec
ureC_413	urec
ureC_483	urec
ureC_470	urec
ureC_569	urec
ureC_579	urec
ureC_106	urec
ureC_496	urec
ureC_720	urec
ureC_84	urec
ureC_155	urec
ureC_20	urec
ureC_165	urec
ureC_434	urec
ureC_311	urec
ureC_680	urec
ureC_626	urec
ureC_751	urec
ureC_669	urec
ureC_726	urec
ureC_516	urec
ureC_47	urec
ureC_529	urec
ureC_138	urec
ureC_713	urec
ureC_386	urec
ureC_549	urec
ureC_366	urec
ureC_604	urec
ureC_19	urec
ureC_521	urec
ureC_125	urec
ureC_724	urec
ureC_787	urec
ureC_231	urec
ureC_539	urec
ureC_580	urec
ureC_466	urec
ureC_178	urec
