name	LWR	fract	aLWR	afract	taxopath
query_1632	0.001544	0.957	0.001544	0.957	DISTANT
query_2753	0.001061	0.6433	0.001061	0.6433	cluster_IV;d__Bacteria;p__Myxococcota;c__UBA9042
query_2884	0.09783	0.4212	0.1552	0.668	cluster_IV;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
query_4650	0.001107	0.5835	0.001107	0.5835	cluster_IV
query_246	0.001618	1	0.001618	1	DISTANT
query_556	0.0008358	0.5215	0.0008358	0.5215	DISTANT
query_823	0.0003357	1	0.0003357	1	DISTANT
query_993	0.002205	0.9359	0.002205	0.9359	DISTANT
query_1729	0.001499	0.935	0.001499	0.935	cluster_IV;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
query_2643	0.001539	0.9544	0.001539	0.9544	DISTANT
query_3930	0.001618	1	0.001618	1	DISTANT
query_4568	0.001159	1	0.001159	1	DISTANT
query_1553	0.001298	0.6675	0.001298	0.6675	cluster_IV
query_451	0.02061	0.4739	0.02061	0.4739	cluster_IV;d__Archaea;p__Halobacterota
query_558	0.002614	0.7801	0.002614	0.7801	cluster_IV
query_3403	0.005917	0.87	0.005917	0.87	cluster_I;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium gaetbulicola
query_1897	0.003806	0.8035	0.003806	0.8035	cluster_IV
query_3557	0.002643	0.8735	0.002643	0.8735	cluster_IV
query_2875	0.002078	0.9035	0.002078	0.9035	DISTANT
query_4749	0.001603	1	0.001603	1	DISTANT
query_957	0.006497	0.7219	0.006497	0.7219	cluster_IV;d__Bacteria;p__Nitrospinota;c__2-12-FULL-45-22;o__2-12-FULL-45-22;f__;g__;s__
query_1128	0.003453	0.7252	0.003453	0.7252	cluster_IV;d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalobium;s__Methanohalobium evestigatum
query_2231	0.1863	0.8826	0.1863	0.8826	cluster_IV;d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chloroherpetonaceae;g__Chloroherpeton;s__Chloroherpeton thalassium
query_2607	0.002643	0.8735	0.002643	0.8735	cluster_IV
query_757	0.0009924	1	0.0009924	1	cluster_IV;d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chloroherpetonaceae;g__Chloroherpeton;s__Chloroherpeton thalassium
query_4963	0.001864	1	0.001864	1	DISTANT
query_3903	0.001118	0.6944	0.001118	0.6944	DISTANT
query_4341	0.001291	0.8056	0.001291	0.8056	DISTANT
query_1546	0.0007402	0.8581	0.0007402	0.8581	cluster_IV;d__Bacteria;p__Proteobacteria
query_4865	0.01317	0.7093	0.01317	0.7093	cluster_IV;d__Archaea;p__Halobacterota
query_557	0.001613	1	0.001613	1	DISTANT
query_1773	0.001775	1	0.001775	1	DISTANT
query_3908	0.04556	0.8176	0.04556	0.8176	cluster_IV
query_1963	0.003825	0.8095	0.003825	0.8095	cluster_IV
query_2863	0.05362	1	0.05362	1	DISTANT
query_988	0.001669	1	0.001669	1	DISTANT
query_2547	0.001039	0.646	0.001039	0.6461	cluster_I;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae
query_2669	0.0009924	1	0.0009924	1	cluster_IV;d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chloroherpetonaceae;g__Chloroherpeton;s__Chloroherpeton thalassium
query_2185	0.001374	0.3672	0.001374	0.3672	cluster_IV;d__Bacteria;p__Planctomycetota;c__PUPC01;o__;f__;g__;s__
query_4004	0.001645	1	0.001645	1	DISTANT
query_4320	0.02382	0.2604	0.06975	0.7627	cluster_IV;d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales
query_1786	0.001211	0.7475	0.001211	0.7475	cluster_IV;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae
query_2251	0.001827	1	0.001827	1	DISTANT
query_3910	0.7606	0.7766	0.7606	0.7766	cluster_IV;d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__MTP4;s__MTP4 sp000970045
query_991	0.02061	0.4739	0.02061	0.4739	cluster_IV;d__Archaea;p__Halobacterota
query_4704	0.001603	0.8001	0.001603	0.8001	cluster_IV
query_2962	0.002614	0.7801	0.002614	0.7801	cluster_IV
query_4627	0.003943	0.809	0.003943	0.809	cluster_IV
query_4836	0.002511	0.6251	0.002511	0.6251	cluster_IV
query_2390	0.00159	0.992	0.00159	0.992	cluster_IV;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae
query_114	0.002538	0.5458	0.002538	0.5458	cluster_IV;d__Bacteria;p__Nitrospinota;c__2-12-FULL-45-22;o__2-12-FULL-45-22;f__;g__;s__
query_903	0.001638	0.9524	0.001638	0.9524	cluster_III;d__Bacteria
query_138	0.001913	1	0.001913	1	DISTANT
query_3	0.0009469	0.4889	0.001894	0.9777	cluster_IV;d__Bacteria;p__Proteobacteria
query_3061	0.00929	0.5634	0.01649	1	cluster_IV
query_3685	0.01477	0.5284	0.02794	1	cluster_IV
query_2370	0.002643	0.8735	0.002643	0.8735	cluster_IV
query_3082	0.02018	0.8082	0.02018	0.8082	cluster_IV;d__Archaea;p__Halobacterota
query_3759	0.001158	0.7167	0.001158	0.7167	DISTANT
query_4783	0.002118	0.4986	0.002118	0.4986	cluster_IV;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__MED-G52;s__MED-G52 sp001627925
query_4598	0.0009393	0.5842	0.0009393	0.5842	DISTANT
query_2874	0.02018	0.8082	0.02018	0.8082	cluster_IV;d__Archaea;p__Halobacterota
query_3029	0.001491	0.5	0.002982	1	cluster_IV
query_4546	0.6815	0.8211	0.6815	0.8211	cluster_IV;d__Archaea;p__Halobacterota
query_502	0.001616	1	0.001616	1	DISTANT
query_859	0.001117	0.6923	0.001117	0.6923	DISTANT
query_3739	0.0005814	0.5693	0.0005814	0.5693	cluster_IV;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Kordiimonadaceae;g__GCA-2401685;s__
query_2668	0.001557	0.7225	0.001557	0.7225	DISTANT
query_893	0.03303	0.9476	0.03485	1	cluster_IV
query_4176	0.05639	0.5307	0.09439	0.8882	cluster_I;d__Bacteria;p__Proteobacteria
query_1706	0.2753	0.802	0.2753	0.802	cluster_I;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium gaetbulicola
query_3380	0.001579	0.7369	0.001579	0.7369	DISTANT
query_1561	0.002614	0.7801	0.002614	0.7801	cluster_IV
query_4456	0.005098	0.6979	0.005098	0.6979	cluster_IV;d__Archaea;p__Halobacterota
query_4227	0.001006	0.6278	0.001006	0.6278	DISTANT
query_2506	0.001372	0.833	0.001372	0.833	cluster_III;d__Bacteria
query_1549	0.2383	0.5538	0.2383	0.5538	cluster_I;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium gaetbulicola
query_3542	0.04135	0.4126	0.04135	0.4126	cluster_IV;d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chloroherpetonaceae;g__Chloroherpeton;s__Chloroherpeton thalassium
query_3778	0.001638	0.9524	0.001638	0.9524	cluster_III;d__Bacteria
query_4058	0.0008172	0.5066	0.0008172	0.5066	DISTANT
query_4343	0.001635	0.9305	0.001635	0.9305	DISTANT
query_2923	0.004975	0.9177	0.004975	0.9177	cluster_IV
query_3568	0.0008172	0.5066	0.0008172	0.5066	DISTANT
query_4768	0.1691	0.9575	0.1691	0.9575	cluster_I;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium gaetbulicola
query_3656	0.001459	0.9003	0.001459	0.9003	cluster_IV;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae
query_4996	0.0008844	0.5519	0.0008844	0.5519	DISTANT
query_2957	0.001616	1	0.001616	1	DISTANT
query_3689	0.0009854	0.6149	0.0009854	0.6149	DISTANT
query_3401	0.0008621	0.5	0.001724	1	cluster_III;d__Bacteria
query_2489	0.0041	0.5646	0.0041	0.5646	cluster_I;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__21-64-14;f__21-64-14;g__BMS3Abin12;s__BMS3Abin12 sp002897735
query_3273	0.04432	0.6754	0.04432	0.6754	cluster_IV
query_606	0.03916	0.5506	0.06433	0.9044	cluster_IV;d__Archaea;p__Halobacterota
query_4516	0.006265	0.4453	0.0125	0.8883	cluster_IV
query_4087	0.001152	0.7159	0.001152	0.7159	cluster_I;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
query_4781	0.001361	0.8436	0.001361	0.8436	DISTANT
query_4433	0.0562	0.4725	0.0562	0.4725	DISTANT
query_1792	0.001119	0.6925	0.001119	0.6925	cluster_III;d__Bacteria
query_4847	0.001579	0.7369	0.001579	0.7369	DISTANT
query_2745	0.000915	0.5	0.000915	0.5	cluster_IV;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__MED-G52;s__MED-G52 sp001627925
query_3995	0.0005985	0.9992	0.0005985	0.9992	DISTANT
query_1076	0.08317	0.8436	0.08317	0.8436	DISTANT
query_240	0.04974	0.4489	0.04974	0.4489	cluster_II;d__Bacteria;p__Myxococcota;c__UBA9042;o__PWKZ01;f__;g__;s__
query_93	0.3018	0.6134	0.3248	0.6601	cluster_IV;d__Bacteria;p__Myxococcota;c__UBA9042
query_4596	0.05713	0.2408	0.05713	0.2408	DISTANT
query_3106	0.216	0.6323	0.216	0.6323	cluster_IV;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__UBA4479;g__UBA4479;s__UBA4479 sp002389175
query_1739	0.03859	0.2917	0.03859	0.2917	DISTANT
query_2927	0.07995	0.6158	0.07995	0.6158	DISTANT
query_3666	0.05145	0.3038	0.05145	0.3038	cluster_IV
query_4754	0.3237	0.7777	0.3237	0.7777	cluster_I;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium gaetbulicola
query_3198	0.00656	0.9987	0.00656	0.9987	cluster_IV;d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__HR1;g__HR1;s__HR1 sp002926195
query_1456	0.3076	0.7693	0.3076	0.7693	cluster_I;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium gaetbulicola
query_4231	0.007161	0.8846	0.007161	0.8846	cluster_IV;d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__HR1;g__HR1;s__HR1 sp002926195
query_604	0.1068	0.5265	0.1068	0.5265	cluster_IV;d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chloroherpetonaceae;g__Chloroherpeton;s__Chloroherpeton thalassium
query_4434	0.3076	0.7693	0.3076	0.7693	cluster_I;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium gaetbulicola
query_4256	0.3076	0.7693	0.3076	0.7693	cluster_I;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium gaetbulicola
query_4821	0.08601	0.5673	0.08601	0.5673	cluster_IV;d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chloroherpetonaceae;g__Chloroherpeton;s__Chloroherpeton thalassium
query_1849	0.06822	0.2281	0.166	0.5551	cluster_IV;d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae
