query_id	cluster_id	cluster_score	cluster_taxopath	taxopath
query_301	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Syntrophoarchaeia;o__ANME-1;f__ANME-1;g__;s__
query_365	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Enhygromyxa;s__Enhygromyxa salina_B
query_419	DISTANT	None	Unspecified	
query_81	cluster_IV	0.0	Unspecified	d__Archaea
query_118	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomonas;s__Methylomonas methanica_B
query_288	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Syntrophoarchaeia;o__ANME-1;f__ANME-1;g__;s__
query_385	DISTANT	None	Unspecified	
query_32	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium gaetbulicola
query_119	cluster_IV	0.0	Unspecified	d__Bacteria;p__Planctomycetota;c__PUPC01;o__;f__;g__;s__
query_171	cluster_IV	0.0	Unspecified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Labilibaculum;s__Labilibaculum filiforme
query_227	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina acetivorans
query_307	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus
query_69	DISTANT	None	Unspecified	
query_166	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__HR1;g__HR1;s__HR1 sp002926195
query_309	DISTANT	None	Unspecified	
query_373	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae
query_79	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanopyri;o__Methanopyrales;f__Methanopyraceae;g__Methanopyrus;s__Methanopyrus kandleri
query_188	DISTANT	None	Unspecified	
query_251	DISTANT	None	Unspecified	
query_298	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomonas;s__Methylomonas methanica_B
query_381	DISTANT	None	Unspecified	
query_424	DISTANT	None	Unspecified	
query_95	DISTANT	None	Unspecified	
query_145	DISTANT	None	Unspecified	
query_196	DISTANT	None	Unspecified	
query_326	cluster_IV	0.0	Unspecified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Labilibaculum;s__Labilibaculum filiforme
query_18	DISTANT	None	Unspecified	
query_64	cluster_III	1.0	Unspecified	d__Bacteria
query_231	DISTANT	None	Unspecified	
query_383	cluster_IV	0.0	Unspecified	
query_30	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomonas;s__Methylomonas methanica_B
query_65	cluster_III	1.0	Unspecified	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__;s__
query_240	cluster_IV	0.0	Unspecified	
query_345	DISTANT	None	Unspecified	
query_111	DISTANT	None	Unspecified	
query_421	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__UBA9042;o__UBA9042;f__UBA9042;g__UBA9042;s__
query_289	DISTANT	None	Unspecified	
query_337	DISTANT	None	Unspecified	
query_388	DISTANT	None	Unspecified	
query_97	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales
query_142	cluster_II	1.0	Unspecified	d__Bacteria;p__Desulfobacterota;c__Thermodesulfobacteria;o__Thermodesulfobacteriales
query_335	DISTANT	None	Unspecified	
query_390	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus
query_22	DISTANT	None	Unspecified	
query_107	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Enhygromyxa;s__Enhygromyxa salina_B
query_169	DISTANT	None	Unspecified	
query_200	DISTANT	None	Unspecified	
query_242	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanopyri;o__Methanopyrales;f__Methanopyraceae;g__Methanopyrus;s__Methanopyrus kandleri
query_314	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomonas;s__Methylomonas methanica_B
query_398	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae
query_20	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium gaetbulicola
query_90	DISTANT	None	Unspecified	
query_268	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Enhygromyxa;s__Enhygromyxa salina_B
query_310	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Proteobacteria
query_125	cluster_IV	0.0	Unspecified	d__Archaea
query_180	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanopyri;o__Methanopyrales;f__Methanopyraceae;g__Methanopyrus;s__Methanopyrus kandleri
query_338	DISTANT	None	Unspecified	
query_404	DISTANT	None	Unspecified	
query_9	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales
query_88	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales
query_185	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Syntrophoarchaeia;o__ANME-1;f__ANME-1;g__;s__
query_284	DISTANT	None	Unspecified	
query_408	cluster_III	1.0	Unspecified	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales
query_38	DISTANT	None	Unspecified	
query_124	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomonas;s__Methylomonas methanica_B
query_197	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA5335;f__UBA5335;g__UBA5335;s__UBA5335 sp002410145
query_261	DISTANT	None	Unspecified	
query_299	DISTANT	None	Unspecified	
query_13	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum;s__Methanospirillum lacunae
query_75	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanopyri;o__Methanopyrales;f__Methanopyraceae;g__Methanopyrus;s__Methanopyrus kandleri
query_160	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis_C
query_206	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota
query_285	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales
query_356	DISTANT	None	Unspecified	
query_37	DISTANT	None	Unspecified	
query_100	cluster_IV	0.0	Unspecified	d__Bacteria
query_236	DISTANT	None	Unspecified	
query_302	DISTANT	None	Unspecified	
query_417	DISTANT	None	Unspecified	
query_96	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Aquificota;c__Desulfurobacteriia;o__Desulfurobacteriales;f__Desulfurobacteriaceae;g__Desulfurobacterium_A;s__Desulfurobacterium_A atlanticum
query_272	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales
query_132	cluster_IV	0.0	Unspecified	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfatibacillaceae;g__Desulfatibacillum;s__Desulfatibacillum aliphaticivorans
query_15	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales
query_352	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota
query_35	DISTANT	None	Unspecified	
query_17	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae
query_74	cluster_IV	0.0	Unspecified	d__Bacteria
query_175	cluster_IV	0.0	Unspecified	d__Bacteria
query_115	DISTANT	None	Unspecified	
query_354	DISTANT	None	Unspecified	
query_216	cluster_IV	0.0	Unspecified	
query_141	cluster_IV	0.0	Unspecified	
query_336	cluster_IV	0.0	Unspecified	d__Archaea
query_248	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Syntrophoarchaeia;o__ANME-1;f__ANME-1;g__;s__
query_73	cluster_IV	0.0	Unspecified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Labilibaculum;s__Labilibaculum filiforme
query_147	DISTANT	None	Unspecified	
query_25	cluster_IV	0.0	Unspecified	d__Bacteria;p__Planctomycetota;c__PUPC01;o__;f__;g__;s__
query_165	cluster_IV	0.0	Unspecified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Labilibaculum;s__Labilibaculum filiforme
query_164	cluster_IV	0.0	Unspecified	
query_304	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Enhygromyxa;s__Enhygromyxa salina_B
query_16	cluster_IV	0.0	Unspecified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Labilibaculum;s__Labilibaculum filiforme
query_59	cluster_II	1.0	Unspecified	d__Bacteria;p__Desulfobacterota;c__Thermodesulfobacteria;o__Thermodesulfobacteriales
query_253	cluster_IV	0.0	Unspecified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Labilibaculum;s__Labilibaculum filiforme
query_109	cluster_IV	0.0	Unspecified	d__Bacteria;p__Planctomycetota;c__PUPC01;o__;f__;g__;s__
query_126	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides;s__Methanococcoides vulcani
query_318	cluster_IV	0.0	Unspecified	
query_68	cluster_IV	0.0	Unspecified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Labilibaculum;s__Labilibaculum filiforme
query_0	cluster_IV	0.0	Unspecified	
query_334	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanopyri;o__Methanopyrales;f__Methanopyraceae;g__Methanopyrus;s__Methanopyrus kandleri
query_325	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Syntrophoarchaeia;o__ANME-1;f__ANME-1;g__;s__
query_178	DISTANT	None	Unspecified	
query_225	cluster_IV	0.0	Unspecified	
query_29	cluster_IV	0.0	Unspecified	
query_413	cluster_IV	0.0	Unspecified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Labilibaculum;s__Labilibaculum filiforme
query_207	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Syntrophoarchaeia;o__ANME-1;f__ANME-1;g__;s__
query_3	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus;s__Methanocaldococcus vulcanius
query_215	DISTANT	None	Unspecified	
query_50	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomonas;s__Methylomonas methanica_B
query_363	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Enhygromyxa;s__Enhygromyxa salina_B
query_235	DISTANT	None	Unspecified	
query_54	cluster_IV	0.0	Unspecified	d__Bacteria
query_80	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Enhygromyxa;s__Enhygromyxa salina_B
query_129	DISTANT	None	Unspecified	
query_357	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocullaceae;g__UBA206
query_403	DISTANT	None	Unspecified	
query_262	DISTANT	None	Unspecified	
query_40	cluster_IV	0.0	Unspecified	
query_157	cluster_III	1.0	Unspecified	d__Bacteria
query_247	cluster_III	1.0	Unspecified	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
query_282	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocullaceae;g__UBA206;s__
query_346	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__UBA9042;o__UBA9042;f__UBA9042;g__UBA9042;s__
query_26	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales
query_86	DISTANT	None	Unspecified	
query_154	cluster_IV	0.0	Unspecified	d__Bacteria
query_328	DISTANT	None	Unspecified	
query_19	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales
query_53	DISTANT	None	Unspecified	
query_341	cluster_IV	0.0	Unspecified	
query_58	DISTANT	None	Unspecified	
query_114	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Enhygromyxa;s__Enhygromyxa salina_B
query_324	cluster_IV	0.0	Unspecified	
query_369	DISTANT	None	Unspecified	
query_6	DISTANT	None	Unspecified	
query_254	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei
query_360	cluster_III	1.0	Unspecified	d__Bacteria
query_393	cluster_IV	0.0	Unspecified	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Petrotogaceae;g__Oceanotoga;s__Oceanotoga teriensis
query_8	DISTANT	None	Unspecified	
query_56	DISTANT	None	Unspecified	
query_83	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
query_224	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus vannielii
query_257	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__UBA9042;o__UBA9042;f__UBA9042;g__UBA9042;s__
query_296	DISTANT	None	Unspecified	
query_319	DISTANT	None	Unspecified	
query_103	DISTANT	None	Unspecified	
query_135	DISTANT	None	Unspecified	
query_172	cluster_IV	0.0	Unspecified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Labilibaculum;s__Labilibaculum filiforme
query_186	DISTANT	None	Unspecified	
query_252	DISTANT	None	Unspecified	
