genus	counts	fraction
g__Dissulfuribacter	1	0.004291845493562232
g__Clostridium_F	1	0.004291845493562232
g__Deferrisoma	1	0.004291845493562232
g__Thermoanaerobacterium	1	0.004291845493562232
g__Sunxiuqinia	1	0.004291845493562232
g__BMS3Bbin11	1	0.004291845493562232
g__UBA7800	1	0.004291845493562232
g__PB-SRB1	1	0.004291845493562232
g__BuS5	1	0.004291845493562232
g__Desulfocurvibacter	1	0.004291845493562232
g__Spiro-10	1	0.004291845493562232
g__Syntrophoarchaeum	1	0.004291845493562232
g__Ilyobacter	1	0.004291845493562232
Unspecified	18	0.07725321888412018
